"","11121112","11122111","11122112","11122113","11122114","11421111","11421112","11421314","11422111","11422112","11422113","11422114","11422324","11522112","12411132","12412132","12422132","22412132","24112132","24112134","24122132","24122133","24122134","24132132","24422134","26112111","26112112","26112113","26112131","26112231","26112234","26132131","26132231","26412131","26412132","26412133","26412134","26422131","26422132","26422133","26422134","26432132","26512111","26512112","26512133","26632131","31122112","31122113","31222111","31222112","31222132","31322111","31322112","31421113","31421114","31421314","31422111","31422112","31422113","31422114","31422132","31422133","31422334","31431113","31432112","31521114","31522111","31522112","32121311","32122112","32122113","32122133","32221311","32221312","32222111","32222112","32222113","32222114","32322111","32322112","32322113","32322114","32322132","32421311","32422111","32422112","32422113","32422114","32422212","32422213","32512112","32512113","32521311","32522112","32522113","32522114","32522131","32522132","32522133","32522212","32522213","33122111","33122112","33122131","33122132","33122133","33222112","33222132","33222133","33322111","33322112","33322113","33322212","33422112","33422113","33422311","33422312","33521311","33522212","33522213","33522312","34122131","34122132","34122133","34122134","34322112","34322113","34322114","34422112","34422113","34422114","34432112","34432113","34432114","34522132","35122112","35122113","35122114","35122131","35122132","35122134","35522132","35522133","36112111","36112114","36112231","36122132","36122133","36122134","36122311","36122312","36122313","41222111","41222112","41222113","41422111","41422112","41422113","41422114","41522112","41522113","41532131","41532132","41532133","41532134","42122112","42122113","42122114","42222112","42422122","42521112","42521311","42522131","42522132","43122112","43122113","43122131","43122132","43122133","43122134","43221311","43222112","43222114","43222132","43222133","43321311","43422112","43422121","43521311","43522113","43522114","43632112","43632113","43632131","43632132","43632133","44122113","45122132","45222132","45322132","46122112","46122113","46122132","46122133","46632113"
"-7",0.144300144,0.288600289,0.577200577,0.432900433,0,0.288600289,0.144300144,0.144300144,0,0.577200577,0.144300144,0.721500722,0.288600289,0.144300144,0.144300144,0.288600289,0.577200577,0.144300144,1.587301587,0.144300144,0.144300144,0,1.298701299,0,0.144300144,0,0,0,3.607503608,0,0,0.144300144,0,1.154401154,0.721500722,0.577200577,1.298701299,0.144300144,1.443001443,1.875901876,0.432900433,0.288600289,0,0,0.144300144,5.050505051,0,0,0.865800866,2.886002886,0.288600289,0,0,0.721500722,0.144300144,0.288600289,0.288600289,6.493506494,1.154401154,0.144300144,0,0,0.288600289,0.288600289,0.288600289,0.577200577,0.432900433,1.587301587,0,0.144300144,0.288600289,0.144300144,0,0,0.577200577,2.164502165,0.865800866,0.288600289,0.865800866,2.741702742,0.288600289,0.288600289,0,0,0.721500722,9.668109668,3.463203463,1.01010101,0,0,0.577200577,0.288600289,0,1.443001443,0.721500722,1.443001443,0,0,0,0,0,0,0,0,0,0,0.144300144,0,0.144300144,0,0.288600289,0.144300144,0,0,0,0,0.288600289,0,0,0,0.288600289,0.144300144,5.772005772,2.02020202,1.154401154,2.02020202,0,0.144300144,0.288600289,0.144300144,0,0.288600289,0.144300144,0.144300144,2.308802309,0,0,0,0.144300144,0.144300144,0,0,0,0.432900433,0,3.607503608,0,0,0,0,0,0,0,0,0.144300144,0.432900433,2.597402597,0.432900433,0.577200577,1.731601732,0.144300144,0.144300144,1.01010101,0.144300144,0.144300144,0.288600289,0.144300144,0.577200577,0.144300144,0,0.144300144,0,0,0.144300144,0,0,0,0,0.144300144,0,0,0.144300144,0.288600289,0,0,0,0,0,0,0.144300144,0.144300144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-6",0.141643059,0.283286119,0.566572238,0.424929178,0,0.283286119,0.141643059,0.141643059,0,0.566572238,0.141643059,0.708215297,0.283286119,0.141643059,0.141643059,0.283286119,0.566572238,0.141643059,1.558073654,0.141643059,0.141643059,0,1.274787535,0,0.141643059,0,0,0,3.966005666,0,0,0.141643059,0,1.133144476,0.708215297,0.566572238,1.274787535,0.141643059,1.416430595,1.841359773,0.424929178,0.283286119,0,0,0.141643059,5.240793201,0,0,0.849858357,2.83286119,0.283286119,0,0,0.708215297,0.141643059,0.283286119,0.283286119,6.657223796,1.274787535,0.141643059,0,0,0.283286119,0.283286119,0.283286119,0.566572238,0.424929178,1.558073654,0,0.141643059,0.283286119,0.141643059,0,0,0.566572238,2.124645892,0.849858357,0.283286119,0.849858357,2.69121813,0.283286119,0.283286119,0,0,0.708215297,9.631728045,3.399433428,0.991501416,0,0,0.566572238,0.283286119,0,1.416430595,0.708215297,1.416430595,0,0,0,0,0,0,0,0,0,0,0.141643059,0,0.141643059,0,0.283286119,0.141643059,0,0,0,0,0.283286119,0,0,0,0.283286119,0.141643059,5.66572238,1.983002833,1.133144476,1.983002833,0,0.141643059,0.424929178,0.141643059,0,0.283286119,0.141643059,0.141643059,2.266288952,0,0,0,0.141643059,0.141643059,0,0,0,0.424929178,0,3.966005666,0,0,0,0,0,0,0,0,0.141643059,0.424929178,2.549575071,0.424929178,0.566572238,1.699716714,0.141643059,0.141643059,0.991501416,0.141643059,0.141643059,0.283286119,0.141643059,0.566572238,0.141643059,0,0.141643059,0,0,0.141643059,0,0,0,0,0.141643059,0,0,0.141643059,0.283286119,0,0,0,0,0,0,0.141643059,0.141643059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-5",0.138121547,0.276243094,0.552486188,0.414364641,0,0.276243094,0.138121547,0.138121547,0,0.552486188,0.138121547,0.690607735,0.276243094,0.138121547,0.138121547,0.276243094,0.552486188,0.276243094,1.519337017,0.138121547,0.138121547,0,0.966850829,0,0.138121547,0,0,0,4.005524862,0,0,0.138121547,0,1.104972376,0.690607735,0.552486188,1.243093923,0.138121547,1.38121547,1.79558011,0.414364641,0.276243094,0,0,0.138121547,4.834254144,0,0,0.828729282,2.762430939,0.276243094,0,0,0.414364641,0.138121547,0.276243094,0.276243094,7.044198895,1.243093923,0.138121547,0,0,0.276243094,0,0.276243094,0.552486188,0.414364641,1.519337017,0,0.138121547,0.276243094,0.138121547,0,0,0.690607735,2.209944751,0.828729282,0.276243094,0.828729282,2.762430939,0.276243094,0.276243094,0,0,0.690607735,9.392265193,3.17679558,1.243093923,0,0.138121547,0.552486188,0.276243094,0,1.38121547,0.552486188,1.38121547,0,0,0,0,0,0,0,0,0,0,0.138121547,0,0.138121547,0,0.276243094,0.138121547,0,0,0,0,0.276243094,0,0,0,0.276243094,0.138121547,6.077348066,2.209944751,1.104972376,2.486187845,0,0.138121547,0.414364641,0.138121547,0,0.276243094,0.138121547,0.138121547,2.209944751,0,0,0,0.138121547,0.138121547,0,0,0,0.552486188,0,4.143646409,0,0,0,0,0,0,0,0,0.138121547,0.414364641,2.624309392,0.552486188,0.552486188,1.657458564,0.138121547,0.138121547,0.966850829,0.138121547,0.138121547,0.414364641,0.138121547,0.552486188,0.138121547,0,0.138121547,0,0,0.138121547,0,0,0,0,0.138121547,0,0,0.138121547,0.276243094,0,0,0,0,0,0,0.138121547,0.138121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-4",0.132450331,0.264900662,0.529801325,0.397350993,0,0.264900662,0.132450331,0.132450331,0,0.529801325,0.132450331,0.662251656,0.264900662,0.132450331,0.132450331,0.264900662,0.529801325,0.264900662,1.456953642,0.132450331,0.132450331,0,0.927152318,0,0.132450331,0,0,0,4.503311258,0,0,0.132450331,0,1.059602649,0.662251656,0.529801325,1.19205298,0.132450331,1.324503311,1.721854305,0.397350993,0.264900662,0,0,0.132450331,6.490066225,0,0.132450331,0.794701987,3.178807947,0.529801325,0,0,0.264900662,0.132450331,0.264900662,0.264900662,6.887417219,1.324503311,0.132450331,0,0,0.264900662,0,0.264900662,0.397350993,0.397350993,1.456953642,0,0.132450331,0.264900662,0,0,0,0.662251656,2.119205298,0.662251656,0.264900662,0.794701987,2.781456954,0.264900662,0.264900662,0,0,0.662251656,8.874172185,3.443708609,1.456953642,0,0.132450331,0.529801325,0.264900662,0,1.324503311,0.397350993,1.324503311,0,0,0,0,0,0,0,0,0,0,0.132450331,0,0.132450331,0,0.264900662,0.132450331,0,0,0,0,0.264900662,0,0,0,0.264900662,0.132450331,5.82781457,2.251655629,1.059602649,2.38410596,0,0.132450331,0.397350993,0,0,1.19205298,0.132450331,0.132450331,2.119205298,0,0,0,0.132450331,0.132450331,0,0,0,0.529801325,0,3.708609272,0,0,0,0,0,0,0,0,0.132450331,0.397350993,2.649006623,0.397350993,0.529801325,1.589403974,0.132450331,0.132450331,0.927152318,0.132450331,0.132450331,0.397350993,0.132450331,0.529801325,0.132450331,0,0.132450331,0,0,0.132450331,0,0,0,0,0.132450331,0,0,0,0.132450331,0,0,0,0,0,0,0.132450331,0.132450331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-3",0.132450331,0.264900662,0.529801325,0.397350993,0.132450331,0.264900662,0.132450331,0.132450331,0.132450331,0.529801325,0.132450331,0.794701987,0.264900662,0.132450331,0.132450331,0.264900662,0.529801325,0.264900662,1.456953642,0.132450331,0.132450331,0,0.794701987,0,0,0.132450331,0,0,4.768211921,0,0,0.264900662,0,1.059602649,0.662251656,0.529801325,1.19205298,0.132450331,1.324503311,1.721854305,0.397350993,0.264900662,0,0,0.132450331,5.562913907,0,0.132450331,0.794701987,3.178807947,0.529801325,0,0,0.397350993,0.264900662,0.264900662,0.264900662,6.754966887,1.324503311,0.132450331,0,0,0.264900662,0,0.264900662,0.529801325,0.397350993,1.456953642,0,0.132450331,0.264900662,0,0,0,0.662251656,2.119205298,0.529801325,0.264900662,0.794701987,2.913907285,0.264900662,0.264900662,0,0,0.794701987,9.006622517,3.443708609,1.456953642,0,0.132450331,0.529801325,0.264900662,0,1.324503311,0.397350993,1.19205298,0,0,0,0,0,0,0,0,0,0,0.132450331,0,0.132450331,0,0.264900662,0.132450331,0,0,0,0,0.264900662,0,0,0,0.264900662,0.132450331,5.695364238,2.251655629,1.059602649,2.516556291,0,0.132450331,0.397350993,0,0,1.19205298,0.132450331,0.264900662,2.119205298,0,0,0,0.132450331,0.132450331,0,0,0,0.529801325,0,3.443708609,0,0,0,0,0,0,0,0,0.132450331,0.397350993,2.649006623,0.397350993,0.529801325,1.589403974,0.132450331,0.132450331,0.927152318,0.132450331,0.132450331,0.397350993,0.132450331,0.529801325,0.132450331,0,0.132450331,0,0,0.132450331,0,0,0,0,0.132450331,0,0,0,0.132450331,0,0,0,0,0,0,0.132450331,0.132450331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2",0.142247511,0.284495021,0.568990043,0.426742532,0.142247511,0.284495021,0.142247511,0.142247511,0.142247511,0.568990043,0.142247511,0.853485064,0.284495021,0.142247511,0.142247511,0.284495021,0.568990043,0.142247511,1.564722617,0.142247511,0.142247511,0,0.711237553,0,0,0.142247511,0,0,4.409672831,0,0,0.284495021,0,1.137980085,0.711237553,0.568990043,1.280227596,0.142247511,1.422475107,1.849217639,0.426742532,0.284495021,0,0,0.142247511,4.125177809,0,0.142247511,0.853485064,1.706970128,0.568990043,0,0,0.711237553,0.284495021,0.284495021,0.284495021,7.254623044,1.422475107,0.142247511,0,0,0.284495021,0,0.284495021,0.711237553,0.426742532,1.564722617,0,0.142247511,0.142247511,0,0,0,0.711237553,2.275960171,0.711237553,0.284495021,1.137980085,2.844950213,0.284495021,0.284495021,0,0,0.853485064,8.250355619,3.556187767,1.564722617,0,0.142247511,0.568990043,0.284495021,0,1.422475107,0.426742532,1.280227596,0,0,0,0,0,0,0,0,0,0,0.142247511,0,0.142247511,0,0.284495021,0.142247511,0,0,0,0,0.284495021,0,0,0,0.284495021,0.142247511,5.689900427,1.849217639,0.995732575,2.418207681,0,0.142247511,0.426742532,0,0,1.280227596,0.142247511,0.142247511,2.275960171,0,0,0,0.142247511,0.142247511,0,0,0,0.568990043,0,3.982930299,0,0,0,0,0,0,0,0,0.142247511,0.426742532,2.560455192,0.426742532,0.568990043,1.706970128,0.142247511,0.142247511,0.995732575,0.142247511,0.142247511,0.284495021,0.142247511,0.568990043,0.142247511,0,0.142247511,0,0,0.142247511,0,0,0,0,0.142247511,0,0,0,0.142247511,0,0,0,0,0,0,0.142247511,0.142247511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-1",0.155279503,0.310559006,0.621118012,0.465838509,0.155279503,0.310559006,0.155279503,0.155279503,0.155279503,0.621118012,0.155279503,0.931677019,0.310559006,0.155279503,0.155279503,0.310559006,0.621118012,0.155279503,1.552795031,0.155279503,0.155279503,0,0.155279503,0,0,0.155279503,0,0,3.571428571,0,0,0.155279503,0,1.086956522,0.776397516,0.621118012,1.397515528,0.310559006,1.552795031,2.01863354,0.465838509,0.310559006,0,0,0.155279503,2.795031056,0,0,0.931677019,1.552795031,0.776397516,0,0,1.086956522,0.310559006,0.310559006,0.310559006,5.590062112,1.397515528,0.155279503,0,0,0.310559006,0.155279503,0.155279503,0.621118012,0.465838509,1.708074534,0,0.155279503,0.155279503,0,0,0,0.155279503,2.329192547,0.776397516,0.465838509,1.242236025,2.639751553,0.310559006,0.310559006,0,0,0.931677019,8.850931677,3.726708075,1.708074534,0,0.155279503,0.621118012,0.310559006,0,1.397515528,0.465838509,1.397515528,0,0,0,0,0,0,0,0,0,0,0.155279503,0,0.155279503,0,0.310559006,0.155279503,0,0,0,0,0.310559006,0,0,0,0.310559006,0.155279503,5.434782609,1.863354037,1.086956522,2.329192547,0,0.155279503,0.465838509,0,0,1.242236025,0.155279503,0,2.48447205,0,0,0,0.155279503,0.155279503,0,0,0,0.621118012,0,5.279503106,0,0,0,0,0,0,0,0,0,0.465838509,2.639751553,0.310559006,0.621118012,1.863354037,0.155279503,0.155279503,1.086956522,0.155279503,0.155279503,0.310559006,0.155279503,0.621118012,0.155279503,0,0.155279503,0,0,0.155279503,0,0,0,0,0.155279503,0,0,0,0.155279503,0,0,0,0,0,0,0.155279503,0.155279503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0",0.148148148,0.444444444,0.592592593,0.444444444,0.148148148,0.296296296,0.148148148,0.148148148,0.148148148,0.592592593,0.148148148,0.888888889,0.296296296,0.148148148,0.148148148,0.296296296,0.444444444,0.148148148,1.62962963,0.148148148,0.148148148,0,0.148148148,0.148148148,0,0.148148148,0,0,3.259259259,0,0,0.148148148,0,1.185185185,0.740740741,0.444444444,1.333333333,0.296296296,1.481481481,2.37037037,0.444444444,0.296296296,0,0,0,3.407407407,0,0,0.888888889,1.481481481,0.444444444,0,0,1.037037037,0.592592593,0.296296296,0.296296296,4.592592593,1.333333333,0.148148148,0,0,0.296296296,0.148148148,0.148148148,0.888888889,0.444444444,1.62962963,0,0.148148148,0.148148148,0,0.148148148,0,0.148148148,2.222222222,0.740740741,0.444444444,1.481481481,2.962962963,0.296296296,0.296296296,0,0,0.888888889,9.333333333,3.703703704,1.62962963,0,0.148148148,0.592592593,0.296296296,0,1.481481481,0.444444444,1.333333333,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0.148148148,0.148148148,0.296296296,0.148148148,0,0,0,0,0.296296296,0,0,0,0.296296296,0.148148148,5.777777778,1.777777778,1.037037037,2.222222222,0,0.148148148,0.444444444,0,0,1.185185185,0.148148148,0,2.222222222,0,0,0,0.148148148,0.148148148,0,0,0,0.592592593,0,5.925925926,0,0,0,0,0,0,0,0,0,0.444444444,2.518518519,0.444444444,0.592592593,1.777777778,0.148148148,0.148148148,1.037037037,0.148148148,0.148148148,0.296296296,0.148148148,0.592592593,0.148148148,0,0.148148148,0,0,0.148148148,0,0.148148148,0,0,0.148148148,0,0,0,0.148148148,0,0,0,0,0,0,0.148148148,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0.155520995,0.466562986,0.622083981,0.466562986,0.155520995,0.311041991,0.155520995,0.155520995,0.155520995,0.622083981,0.155520995,0.933125972,0.311041991,0.155520995,0.155520995,0.311041991,0.466562986,0.155520995,1.244167963,0.155520995,0,0,0.155520995,0.155520995,0,0.155520995,0,0,3.110419907,0,0,0.155520995,0,1.244167963,0.777604977,0.622083981,1.399688958,0.311041991,1.399688958,2.177293935,0.466562986,0.155520995,0,0,0,3.421461897,0,0,0.933125972,1.399688958,0.466562986,0,0,1.088646967,0.777604977,0.311041991,0.311041991,4.821150855,1.399688958,0.155520995,0,0,0.311041991,0.155520995,0.155520995,0.466562986,0.466562986,1.710730949,0,0.155520995,0.155520995,0,0.155520995,0,0.155520995,2.33281493,0.777604977,0.466562986,1.555209953,3.110419907,0.311041991,0.311041991,0,0,0.933125972,9.175738725,3.732503888,1.555209953,0,0.155520995,0.622083981,0.311041991,0,1.399688958,0.466562986,1.399688958,0,0,0,0,0,0,0,0,0,0,0.155520995,0,0.155520995,0.155520995,0.311041991,0,0,0,0,0,0.311041991,0,0,0,0.311041991,0.155520995,5.909797823,1.710730949,0.933125972,2.33281493,0,0.155520995,0.466562986,0,0,1.244167963,0.155520995,0,2.33281493,0,0,0,0.155520995,0.155520995,0,0,0,0.622083981,0,5.287713841,0,0,0,0,0,0,0,0,0,0.466562986,2.643856921,0.466562986,0.622083981,1.866251944,0.155520995,0.155520995,1.088646967,0.155520995,0.155520995,0.311041991,0.155520995,0.622083981,0.155520995,0,0,0,0,0.155520995,0,0.155520995,0,0,0.155520995,0,0,0,0.155520995,0,0,0,0,0,0,0.155520995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
